series_id,sample_start,sample_end,n_observations,threshold_quantile,run_length,threshold,n_exceedances,n_clusters,theta_runs,theta_runs_ci_lower,theta_runs_ci_upper,lambda_runs,lambda_runs_ci_lower,lambda_runs_ci_upper,n_bootstrap,block_size,ci_level
unrate,1990-02-01,2026-05-01,435,0.9,3,8.2,42,2,0.047619047619047616,0.047619047619047616,0.1891891891891892,2.027586206896552,0.4495894909688013,2.027586206896552,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.93,3,9.0,27,2,0.07407407407407407,0.06451612903225806,0.23775862068965503,0.8379310344827586,0.25525862068965516,1.1045977011494252,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.95,3,9.4,19,2,0.10526315789473684,0.057026143790849665,0.32651515151515126,0.4149425287356322,0.1264655172413793,0.7086206896551711,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.97,3,9.6,13,3,0.23076923076923078,0.11928571428571418,0.5714285714285714,0.12950191570881225,0.028160919540229885,0.22781609195402291,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,3,3.16,43,8,0.18604651162790697,0.11904761904761904,0.30628460686600206,0.5313218390804598,0.31789819376026274,0.8110344827586208,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.93,3,3.27,29,8,0.27586206896551724,0.1401477832512315,0.3870967741935484,0.24166666666666667,0.17391849529780562,0.4685919540229879,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.95,3,3.34,21,6,0.2857142857142857,0.13636363636363635,0.45,0.16896551724137931,0.10287515964240102,0.3708812260536399,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.97,3,3.53,13,3,0.23076923076923078,0.14285714285714285,0.5597402597402593,0.12950191570881225,0.05517241379310345,0.22528735632183908,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,3,1.0677301406733581,44,8,0.18181818181818182,0.13636363636363635,0.32984496124030993,0.5563218390804597,0.2998133552271483,0.7417624521072798,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.93,3,1.3469583278509107,31,8,0.25806451612903225,0.12903225806451613,0.41064516129032225,0.2761494252873563,0.17105216622458,0.5522988505747126,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.95,3,1.557498818637821,22,5,0.22727272727272727,0.13636363636363635,0.5238095238095238,0.22252873563218392,0.09216300940438871,0.3708812260536399,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.97,3,1.8461353633337168,14,3,0.21428571428571427,0.14285714285714285,0.6700549450549442,0.15019157088122606,0.046635057471264355,0.22528735632183908,250,36,0.9
